Time (milliseconds)	ax	ay	az	mx	my	mz	ts	alti
356092	176	-224	-1024	18300	12450	79950	356071	395.7994
356142	64	-16	-1024	17550	13350	79800	356119	395.1547
356208	160	-48	-1088	18750	13200	80100	356187	395.1547
356244	96	-48	-1440	18300	12750	80550	356221	395.3079
356290	64	-128	-2880	17550	12750	80250	356269	395.0015
356340	-48	0	-1168	18150	12900	81000	356317	395.2445
356408	-32	-320	-768	18300	12450	80250	356387	395.551
356440	80	-144	-1232	18750	13650	80850	356419	395.2445
356488	16	80	-1152	18300	12450	79800	356467	394.6632
356543	96	-224	-1120	18300	12600	80250	356521	394.909
356590	96	32	-576	18750	13350	80550	356569	395.7994
356658	208	-80	-992	18150	12300	79950	356635	396.135
356693	0	96	448	18150	13200	79800	356671	395.8892
356740	80	0	-1040	18150	12300	80400	356719	395.7994
356789	64	48	-576	18750	13500	80100	356767	395.0622
356844	224	-688	-2384	18150	12450	80700	356822	394.8165
356912	272	16	-912	18000	12750	80100	356891	394.51
356944	144	-176	-1344	18450	13050	80700	356922	395.1547
356993	16	96	480	18600	13200	79950	356971	395.551
357041	224	-304	-864	17850	12150	81150	357019	395.7994
357090	-32	80	-848	17550	12600	79950	357067	395.7994
357156	176	-336	-1008	18750	12450	80850	357135	395.1547
357192	48	-48	-1040	18600	13050	80400	357169	395.551
357239	48	-192	176	18600	12450	79800	357218	395.4004
357296	128	-16	-1392	18450	13800	80250	357271	395.551
357340	64	112	1264	18300	13050	80100	357319	395.6145
357408	80	-208	-1152	17850	12300	79950	357387	395.0622
357442	-96	-288	-784	17400	12900	79950	357421	395.3079
357490	176	48	-736	17700	13800	80100	357469	395.551
357539	-96	-112	-1008	18300	13350	80850	357517	395.8602
357608	368	64	-912	18450	13500	80400	357587	395.551
357640	160	32	-1120	17550	13050	80400	357619	395.9527
357688	160	-176	-960	17400	12450	80850	357667	395.551
357744	48	-80	-912	18150	12750	80100	357721	394.5708
357790	16	-16	-944	18750	12300	79950	357769	395.6145
357857	0	272	-672	18000	12600	79950	357835	395.1256
357892	272	64	-2048	17850	12600	80400	357871	394.8165
357940	16	-48	-736	18000	12450	80250	357919	395.6145
357989	224	16	-1168	18150	13200	80550	357967	395.0622
358044	-32	-192	-1200	18750	12300	79950	358021	395.8602
358234	272	-320	-384	17850	13800	80100	358211	396.4124
358266	-16	-64	-960	18750	12450	80400	358242	395.1256
358296	64	-16	-1024	17550	13050	80700	358274	395.1256
358328	176	-80	-976	17850	13050	79800	358306	394.5708
358360	32	-128	-1024	19050	13050	80250	358338	395.1256
358428	0	-272	-640	18600	13200	79500	358406	394.6342
358462	-64	128	-2752	18150	12450	80250	358439	394.1427
358493	128	-80	-1536	18450	12300	80550	358471	395.1256
358524	288	240	-1744	18000	12600	80100	358502	394.2352
358594	400	112	-288	18600	12450	81000	358571	394.6342
358627	-48	32	1440	18150	12450	80250	358602	394.6949
358660	144	-176	-1040	18900	13050	79800	358638	395.1256
358692	32	-48	-128	18000	13050	80550	358670	395.6145
358739	0	-96	-704	17700	13650	80250	358717	396.0135
358810	16	-32	-976	18600	12450	79800	358786	395.9209
358840	48	-48	-1120	18900	12750	80400	358819	395.2789
358888	112	-80	-960	18300	12600	80400	358867	395.7677
358943	48	160	-2128	17700	13350	80250	358921	395.4321
358991	192	-48	-992	17700	12750	79500	358969	395.4321
359060	-64	-64	-1168	17850	12900	79650	359039	394.9724
359092	16	64	-800	18000	12300	80700	359071	395.6752
359141	48	-16	-1312	18450	12750	80250	359119	395.1864
359188	272	-16	-704	18750	13050	80250	359167	395.522
359242	160	48	-1104	18000	12600	81000	359221	395.0332
359311	-48	-32	-1216	18150	12600	79800	359287	394.7266
359344	144	-96	-992	18600	12750	80250	359323	395.2789
359393	32	-48	-928	18450	12600	80400	359371	395.4321
359442	96	-80	-1024	18600	12600	79950	359419	394.7874
359509	96	-16	-1760	18300	12750	80400	359487	395.4321
359543	80	-48	-864	17850	13050	80400	359521	395.1864
359591	-16	-32	1056	18300	12450	79950	359569	395.9209
359640	48	-352	736	18300	13050	79650	359617	395.1864
359693	64	16	-720	17250	12600	80700	359671	395.4321
359760	16	-80	-1248	17700	12600	80400	359739	394.6051
359792	16	-112	-1072	17700	13050	80100	359770	395.1864
359844	-80	64	-1040	17700	12300	80550	359821	394.9407
359893	144	-144	-1680	18450	12900	79950	359869	395.0939
