millis	ax	ay	az	mx	my	mz
9285	868	-332	-460	-68400	10050	-33450
9338	860	-340	-448	-68400	9450	-33900
9393	864	-344	-468	-68400	9900	-33450
9434	864	-332	-460	-68250	9750	-33900
9488	868	-340	-456	-68100	9150	-33150
9536	868	-332	-452	-69150	10050	-34950
9584	864	-336	-456	-67500	9150	-33600
9638	864	-328	-460	-68400	9900	-34650
9694	868	-336	-448	-69150	9900	-33900
9734	868	-336	-444	-68400	9000	-34500
9788	860	-332	-444	-68250	9900	-33450
9836	868	-336	-448	-68100	9450	-33900
9884	860	-332	-456	-68700	8550	-33150
9938	868	-336	-448	-68250	9300	-33150
9986	872	-332	-456	-68250	9300	-33900
10070	868	-332	-440	-68250	9600	-33600
10089	872	-324	-452	-68700	9600	-33750
10137	860	-336	-460	-68100	10500	-33450
10184	864	-332	-456	-67950	8850	-33750
10238	864	-336	-460	-69300	9000	-34350
10286	876	-336	-460	-68400	9000	-33300
10334	868	-340	-456	-68850	9300	-33900
10390	864	-332	-464	-68250	10050	-33900
10436	868	-336	-460	-68550	10500	-33150
10484	876	-332	-452	-69000	10200	-34050
10538	864	-336	-452	-68400	9300	-33150
10587	864	-340	-452	-67950	9300	-34350
10634	872	-332	-444	-68100	10050	-34050
10690	864	-336	-452	-68250	9600	-33450
10736	856	-328	-456	-67800	9600	-34200
10784	860	-332	-452	-68700	9600	-33000
10841	864	-332	-444	-69000	10500	-33300
10887	864	-328	-460	-70050	9300	-34350
10935	872	-336	-460	-69000	9600	-34050
10988	864	-340	-460	-68850	9600	-33150
11046	876	-336	-456	-69300	9150	-34350
11085	864	-336	-456	-68250	9600	-33150
11138	864	-332	-444	-68100	9750	-34950
11186	868	-328	-456	-68400	10200	-34050
11235	864	-332	-452	-67650	9750	-33450
11288	864	-332	-452	-68100	10350	-33450
11373	876	-332	-452	-67800	9750	-32850
11385	876	-332	-452	-67950	8700	-33150
11438	868	-332	-460	-67950	10050	-33450
11486	868	-328	-460	-68550	9450	-33600
